Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
363.9232272,13.5927457,197.5221889,77.2852106,161.2171893,-141.8243993
364.9232272,13.5989187,196.7360688,76.66713692,162.7743769,-141.8243993
365.9232272,13.60503292,195.9499486,76.04906324,164.3315644,-141.8243993
366.9232272,13.61108949,195.1638284,75.43098955,165.8887519,-141.8243993
367.9232272,13.61708946,194.3777082,74.81291587,167.4459394,-141.8243993
368.9232272,13.6230339,193.5915881,74.19484219,169.003127,-141.8243993
369.9232272,13.62892381,192.8054679,73.57676851,170.5603145,-141.8243993
370.9232272,13.6347602,192.0193477,72.95869482,172.117502,-141.8243993
371.9232272,13.64054402,191.2332276,72.34062114,173.6746896,-141.8243993
372.9232272,13.64627621,190.4471074,71.72254746,175.2318771,-142.178916
373.7661602,13.65106532,189.7812499,71.20566286,176.7890646,-142.8879492
374.6090931,13.65581243,189.1090471,70.69705759,178.3462521,-143.5969824
375.452026,13.66051827,188.4306019,70.19680954,179.9034397,-144.3060157
376.2949589,13.66520249,187.7460183,69.70499531,180,-145.0150489
377.1378919,13.66987516,187.0554011,69.22169022,180.7927604,-145.7240822
377.9808248,13.67452738,186.3588561,68.74696828,181.5855207,-147.9879696
378.9810857,13.68002387,185.510698,68.21673264,182.3782811,-147.4690043
379.9810857,13.68549509,184.6675974,67.67897686,183.1710415,-147.4690043
380.9810857,13.69094268,183.8244967,67.14122107,183.9638019,-147.4690043
381.9810857,13.69636684,182.9813961,66.60346529,184.7565622,-147.4690043
382.9810857,13.70176778,182.1382954,66.0657095,185.5493226,-147.4690043
383.9810857,13.7071457,181.2951948,65.52795372,186.342083,-147.4690043
384.9810857,13.71250078,180.4520941,64.99019793,187.1348433,-147.4690043
385.9810857,13.71783323,179.6089934,64.45244214,187.9276037,-147.4690043
386.9810857,13.72314322,178.7658928,63.91468636,188.7203641,-147.4690043
387.9810857,13.72843096,177.9227921,63.37693057,189.5131245,-147.4690043
